"filename", "language", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"f:\Game 2D\GameJam2023\Animation.py", "Python", 28, 0, 0, 0, 12, 40
"f:\Game 2D\GameJam2023\Character.py", "Python", 236, 0, 0, 12, 83, 331
"f:\Game 2D\GameJam2023\Graphics.py", "Python", 54, 0, 0, 0, 18, 72
"f:\Game 2D\GameJam2023\ImageGraphics.py", "Python", 30, 0, 0, 3, 15, 48
"f:\Game 2D\GameJam2023\Instances.py", "Python", 2, 0, 0, 0, 0, 2
"f:\Game 2D\GameJam2023\Items.py", "Python", 28, 0, 0, 0, 10, 38
"f:\Game 2D\GameJam2023\LevelEditor\button.py", "Python", 20, 0, 0, 4, 7, 31
"f:\Game 2D\GameJam2023\LevelEditor\level_editor_tut.py", "Python", 154, 0, 0, 38, 47, 239
"f:\Game 2D\GameJam2023\Scene.py", "Python", 32, 0, 0, 0, 12, 44
"f:\Game 2D\GameJam2023\Settings.py", "Python", 18, 0, 0, 4, 12, 34
"f:\Game 2D\GameJam2023\Weapon.py", "Python", 77, 0, 0, 1, 31, 109
"f:\Game 2D\GameJam2023\World.py", "Python", 89, 0, 0, 0, 16, 105
"f:\Game 2D\GameJam2023\local_variable.json", "JSON", 0, 0, 4, 0, 0, 4
"f:\Game 2D\GameJam2023\main.py", "Python", 221, 0, 0, 33, 80, 334
"f:\Game 2D\GameJam2023\requirements.txt", "pip requirements", 0, 5, 0, 0, 1, 6
"Total", "-", 989, 5, 4, 95, 344, 1437
