"filename", "language", "Python", "JSON", "pip requirements", "comment", "blank", "total"
"f:\Game 2D\GameJam2023\Animation.py", "Python", 28, 0, 0, 0, 12, 40
"f:\Game 2D\GameJam2023\Character.py", "Python", 247, 0, 0, 6, 84, 337
"f:\Game 2D\GameJam2023\Graphics.py", "Python", 54, 0, 0, 0, 18, 72
"f:\Game 2D\GameJam2023\ImageGraphics.py", "Python", 49, 0, 0, 4, 24, 77
"f:\Game 2D\GameJam2023\Instances.py", "Python", 2, 0, 0, 0, 0, 2
"f:\Game 2D\GameJam2023\Items.py", "Python", 46, 0, 0, 1, 20, 67
"f:\Game 2D\GameJam2023\LevelEditor\button.py", "Python", 20, 0, 0, 4, 7, 31
"f:\Game 2D\GameJam2023\LevelEditor\level_editor_tut.py", "Python", 154, 0, 0, 38, 47, 239
"f:\Game 2D\GameJam2023\Scene.py", "Python", 118, 0, 0, 3, 41, 162
"f:\Game 2D\GameJam2023\Settings.py", "Python", 19, 0, 0, 5, 12, 36
"f:\Game 2D\GameJam2023\Weapon.py", "Python", 78, 0, 0, 1, 30, 109
"f:\Game 2D\GameJam2023\World.py", "Python", 93, 0, 0, 0, 18, 111
"f:\Game 2D\GameJam2023\local_variable.json", "JSON", 0, 4, 0, 0, 0, 4
"f:\Game 2D\GameJam2023\main.py", "Python", 284, 0, 0, 40, 101, 425
"f:\Game 2D\GameJam2023\requirements.txt", "pip requirements", 0, 0, 5, 0, 1, 6
"Total", "-", 1192, 4, 5, 102, 415, 1718
