"filename", "language", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"f:\Game 2D\GameJam2023\Animation.py", "Python", 28, 0, 0, 0, 12, 40
"f:\Game 2D\GameJam2023\Audio.py", "Python", 14, 0, 0, 0, 4, 18
"f:\Game 2D\GameJam2023\Character.py", "Python", 249, 0, 0, 6, 84, 339
"f:\Game 2D\GameJam2023\Graphics.py", "Python", 54, 0, 0, 0, 18, 72
"f:\Game 2D\GameJam2023\ImageGraphics.py", "Python", 57, 0, 0, 5, 31, 93
"f:\Game 2D\GameJam2023\Instances.py", "Python", 2, 0, 0, 0, 0, 2
"f:\Game 2D\GameJam2023\Items.py", "Python", 46, 0, 0, 1, 20, 67
"f:\Game 2D\GameJam2023\LevelEditor\button.py", "Python", 20, 0, 0, 4, 7, 31
"f:\Game 2D\GameJam2023\LevelEditor\level_editor_tut.py", "Python", 154, 0, 0, 38, 47, 239
"f:\Game 2D\GameJam2023\Scene.py", "Python", 178, 0, 0, 8, 56, 242
"f:\Game 2D\GameJam2023\Settings.py", "Python", 19, 0, 0, 5, 17, 41
"f:\Game 2D\GameJam2023\Weapon.py", "Python", 82, 0, 0, 1, 28, 111
"f:\Game 2D\GameJam2023\World.py", "Python", 99, 0, 0, 10, 21, 130
"f:\Game 2D\GameJam2023\local_variable.json", "JSON", 0, 0, 5, 0, 0, 5
"f:\Game 2D\GameJam2023\main.py", "Python", 348, 0, 0, 45, 119, 512
"f:\Game 2D\GameJam2023\requirements.txt", "pip requirements", 0, 5, 0, 0, 1, 6
"Total", "-", 1350, 5, 5, 123, 465, 1948
